"row_id","bucket","snapnum","M","_count_*_"
361,160136,16,136,189449
362,160137,16,137,131657
363,160138,16,138,89051
364,160139,16,139,58895
365,160140,16,140,37643
366,160141,16,141,23148
367,160142,16,142,13685
368,160143,16,143,7668
369,160144,16,144,3929
370,160145,16,145,2016
371,160146,16,146,878
372,160147,16,147,347
373,160148,16,148,156
374,160149,16,149,46
375,160150,16,150,11
376,160151,16,151,4
377,160152,16,152,1
2834,160153,16,153,1
378,170117,17,117,17711442
379,170118,17,118,17545570
380,170119,17,119,15159080
381,170120,17,120,12208266
382,170121,17,121,10119067
383,170122,17,122,7938151
384,170123,17,123,6582569
385,170124,17,124,5289672
386,170125,17,125,4146656
387,170126,17,126,3264973
388,170127,17,127,2544179
389,170128,17,128,1978155
390,170129,17,129,1554693
391,170130,17,130,1182693
392,170131,17,131,899460
393,170132,17,132,683587
394,170133,17,133,507519
395,170134,17,134,376585
396,170135,17,135,272599
397,170136,17,136,194434
398,170137,17,137,135911
399,170138,17,138,92565
400,170139,17,139,61413
401,170140,17,140,39535
402,170141,17,141,24363
403,170142,17,142,14577
404,170143,17,143,8205
405,170144,17,144,4266
406,170145,17,145,2236
407,170146,17,146,963
408,170147,17,147,384
409,170148,17,148,171
410,170149,17,149,57
2755,170150,17,150,13
411,170151,17,151,5
2792,170152,17,152,1
2848,170153,17,153,1
412,180117,18,117,17750376
413,180118,18,118,17578200
414,180119,18,119,15199745
415,180120,18,120,12244218
416,180121,18,121,10153275
417,180122,18,122,7970630
418,180123,18,123,6614198
419,180124,18,124,5318307
420,180125,18,125,4173346
421,180126,18,126,3287623
422,180127,18,127,2567394
423,180128,18,128,1996923
424,180129,18,129,1570667
425,180130,18,130,1197262
426,180131,18,131,911742
427,180132,18,132,693968
428,180133,18,133,517062
429,180134,18,134,383509
430,180135,18,135,278552
431,180136,18,136,199498
432,180137,18,137,140089
433,180138,18,138,95621
434,180139,18,139,63690
435,180140,18,140,41350
436,180141,18,141,25770
437,180142,18,142,15403
438,180143,18,143,8659
439,180144,18,144,4631
440,180145,18,145,2390
441,180146,18,146,1066
442,180147,18,147,437
